source,source_key,tag
osm,tourism=hotel,stay
osm,tourism=guest_house,stay
osm,tourism=hostel,stay
osm,tourism=attraction,sightseeing
osm,tourism=viewpoint,views
osm,tourism=museum,culture
osm,tourism=zoo,wildlife
osm,tourism=theme_park,family
osm,natural=beach,beach
osm,natural=waterfall,nature
osm,natural=peak,hike
osm,historic=ruins,history
osm,historic=monument,history
osm,historic=castle,history
osm,historic=fort,history
osm,historic=temple,culture
osm,amenity=place_of_worship,culture
osm,amenity=restaurant,food
osm,amenity=cafe,food
osm,amenity=fast_food,food
osm,cuisine=sri_lankan,local_food
osm,sport=hiking,hike
osm,leisure=park,nature
osm,leisure=nature_reserve,wildlife
osm,tourism=wilderness_hut,nature
